ra,dec,mag
5.230564581664729,0.34020216088602767,3.51
5.238565170955871,-1.2725283540884957,3.97
5.27398976971775,-1.1550949923787786,3.55
5.285314164036389,-0.01433719912672514,3.24
5.295467529693404,0.8157900878079086,3.8
5.303497178716593,0.8327700295814185,3.96
5.314764238969303,-0.2189489715753957,3.58
5.327666498198209,-0.2579835220956367,3.05
5.332977360579103,0.7026115944684583,2.23
5.347896260492225,-0.9902141219153097,1.94
5.399826001657901,0.2547323227650216,3.64
5.39990454147424,-0.8253924181134834,3.11
5.408941594541679,0.27771804721439913,3.77
5.4167686108387105,0.7902909845159042,1.25
5.4321577024523195,-1.15546402479582,3.42
5.4335968136870525,1.079290351323004,3.41
5.437619884879362,0.5928928149453588,2.48
5.444013025929417,-0.16573255623185706,3.78
5.475140973138736,-1.020217466221106,3.67
5.485454560021083,0.7185020668162884,3.94
5.519302864669024,0.7666856507287761,3.72
5.55423292438735,0.5275592069237544,3.21
5.562325143464221,0.6640160466149715,3.74
5.566831758125796,0.09159217388432182,3.92
5.578848088226389,1.092324313097265,2.45
5.614144405288245,-0.39115153315756584,3.77
5.622838762957055,1.2315168167646433,3.23
5.63548890937551,-0.09723529459491753,2.9
5.646057227062187,0.795727667682574,3.98
5.672716520521162,-0.2908121355813913,3.69
5.678756755996463,-1.3507111109698675,3.73
5.6905848523372295,0.17235145562065776,2.38
5.703040743609937,-0.28147424011078626,2.85
5.733094527931116,-0.6521396919203882,3.0
5.784823730765738,-0.005582453065796383,2.95
5.790177004647455,0.4423556536867251,3.77
5.795507763781821,-0.8196236336967441,1.73
5.8040913803095915,0.10817315084411835,3.52
5.806948135229256,1.0158036332625675,3.39
5.840317870596299,-1.0517281990419722,2.87
5.854079879014738,-0.024213493764985453,3.86
5.885389253199801,-0.0003485771582083075,3.65
5.887298817934408,-0.7591408192652074,3.97
5.896118839309361,0.877595024054416,3.76
5.940498547930297,0.1890429642819831,3.41
5.945756003236079,-0.8182902370548055,2.07
5.947219200014489,0.5274602293018738,2.93
5.962617454606671,0.41129825268577175,3.97
5.971444806364484,-0.8956482385981475,3.49
5.976361660666739,1.1554150857635943,3.5
5.977766214382282,0.4293785547394941,3.51
5.989161032736239,-0.1322889585308697,3.73
5.998043100566101,-0.2761253993653693,3.27
6.011133331755446,-0.517005550002795,1.17
6.029767950379602,0.738727692679977,3.62
6.037853362672391,0.49013713119284585,2.44
6.042159177203524,0.26538192043496306,2.49
6.062604400393699,-0.3695282650821726,3.68
6.066582965690082,-0.789704082648336,3.88
6.096285153433446,0.05728675005199216,3.7
6.097438117937314,-1.0164053006156075,3.99
6.121613720604239,-0.3508213025605218,3.96
6.18528699690842,0.8108477167919886,3.81
6.193079193886875,1.3549388220169736,3.21
1.983608670060066,0.556594574173102,2.85
3.3233261964177165,-0.025293922385140024,3.52
3.507848949923252,0.9585430456960626,3.95
